Airport,Community,Airport Name,City,Country,Latitude,Longitude
GKA,0,Goroka Airport,Goroka,Papua New Guinea,-6.081689834590001,145.391998291
MAG,0,Madang Airport,Madang,Papua New Guinea,-5.20707988739,145.789001465
HGU,0,Mount Hagen Kagamuga Airport,Mount Hagen,Papua New Guinea,-5.826789855957031,144.29600524902344
LAE,0,Nadzab Airport,Nadzab,Papua New Guinea,-6.569803,146.725977
POM,0,Port Moresby Jacksons International Airport,Port Moresby,Papua New Guinea,-9.44338035583496,147.22000122070312
WWK,0,Wewak International Airport,Wewak,Papua New Guinea,-3.58383011818,143.669006348
UAK,1,Narsarsuaq Airport,Narssarssuaq,Greenland,61.1604995728,-45.4259986877
GOH,1,Godthaab / Nuuk Airport,Godthaab,Greenland,64.19090271,-51.6781005859
SFJ,1,Kangerlussuaq Airport,Sondrestrom,Greenland,67.0122218992,-50.7116031647
THU,1,Thule Air Base,Thule,Greenland,76.5311965942,-68.7032012939
AEY,1,Akureyri Airport,Akureyri,Iceland,65.66000366210938,-18.07270050048828
EGS,1,Egilsstaðir Airport,Egilsstadir,Iceland,65.2833023071289,-14.401399612426758
IFJ,1,Ísafjörður Airport,Isafjordur,Iceland,66.05809783935547,-23.135299682617188
KEF,2,Keflavik International Airport,Keflavik,Iceland,63.985000610352,-22.605600357056
RKV,1,Reykjavik Airport,Reykjavik,Iceland,64.1299972534,-21.9405994415
YAM,3,Sault Ste Marie Airport,Sault Sainte Marie,Canada,46.48500061035156,-84.5093994140625
YAY,4,St. Anthony Airport,St. Anthony,Canada,51.3918991089,-56.083099365200006
YBC,4,Baie Comeau Airport,Baie Comeau,Canada,49.13249969482422,-68.20439910888672
YBG,4,CFB Bagotville,Bagotville,Canada,48.33060073852539,-70.99639892578125
YBK,4,Baker Lake Airport,Baker Lake,Canada,64.29889678960001,-96.077796936
YBL,3,Campbell River Airport,Campbell River,Canada,49.950801849365234,-125.27100372314452
YBR,3,Brandon Municipal Airport,Brandon,Canada,49.91,-99.951897
YCB,3,Cambridge Bay Airport,Cambridge Bay,Canada,69.1081008911,-105.138000488
YCD,3,Nanaimo Airport,Nanaimo,Canada,49.0549702249,-123.869862556
YCG,3,Castlegar/West Kootenay Regional Airport,Castlegar,Canada,49.2963981628,-117.632003784
YCL,4,Charlo Airport,Charlo,Canada,47.990799,-66.330299
YCO,3,Kugluktuk Airport,Coppermine,Canada,67.816704,-115.143997
YCY,4,Clyde River Airport,Clyde River,Canada,70.4860992432,-68.5167007446
YZS,4,Coral Harbour Airport,Coral Harbour,Canada,64.1932983398,-83.3593978882
YDF,3,Deer Lake Airport,Deer Lake,Canada,49.21080017089844,-57.39139938354492
YDQ,3,Dawson Creek Airport,Dawson Creek,Canada,55.7422981262207,-120.18299865722656
YEG,3,Edmonton International Airport,Edmonton,Canada,53.3097000122,-113.580001831
YEK,4,Arviat Airport,Eskimo Point,Canada,61.0942001343,-94.0708007812
YEV,6,Inuvik Mike Zubko Airport,Inuvik,Canada,68.30419921880001,-133.483001709
YFB,4,Iqaluit Airport,Iqaluit,Canada,63.756402,-68.555801
YFC,3,Fredericton Airport,Fredericton,Canada,45.868900299072266,-66.53720092773438
YFO,4,Flin Flon Airport,Flin Flon,Canada,54.6781005859375,-101.68199920654295
YFS,3,Fort Simpson Airport,Fort Simpson,Canada,61.76020050048828,-121.23699951171876
YGK,3,Kingston Norman Rogers Airport,Kingston,Canada,44.22529983520508,-76.5969009399414
YGL,4,La Grande Rivière Airport,La Grande Riviere,Canada,53.625301361083984,-77.7042007446289
YGP,4,Gaspé (Michel-Pouliot) Airport,Gaspe,Canada,48.7752990723,-64.4785995483
YGR,4,Îles-de-la-Madeleine Airport,Iles De La Madeleine,Canada,47.42470169067383,-61.778099060058594
YHD,4,Dryden Regional Airport,Dryden,Canada,49.831699,-92.744202
YHI,6,Ulukhaktok Holman Airport,Holman Island,Canada,70.76280212402344,-117.80599975585938
YHK,3,Gjoa Haven Airport,Gjoa Haven,Canada,68.635597229,-95.8497009277
YHM,3,John C. Munro Hamilton International Airport,Hamilton,Canada,43.1735992432,-79.93499755859999
YHU,4,Montréal / Saint-Hubert Airport,Montreal,Canada,45.5175018311,-73.4169006348
YHY,3,Hay River / Merlyn Carter Airport,Hay River,Canada,60.8396987915,-115.782997131
YHZ,3,Halifax / Stanfield International Airport,Halifax,Canada,44.8807983398,-63.5085983276
YIO,4,Pond Inlet Airport,Pond Inlet,Canada,72.6832962036,-77.9666976929
YJT,3,Stephenville Airport,Stephenville,Canada,48.5442008972168,-58.54999923706055
YKA,3,Kamloops Airport,Kamloops,Canada,50.7022018433,-120.444000244
YKF,3,Waterloo Airport,Waterloo,Canada,43.4608001709,-80.3786010742
YKL,4,Schefferville Airport,Schefferville,Canada,54.805301666259766,-66.8052978515625
YLL,3,Lloydminster Airport,Lloydminster,Canada,53.309200286865234,-110.072998046875
YLW,3,Kelowna International Airport,Kelowna,Canada,49.9561004639,-119.377998352
YMM,3,Fort McMurray Airport,Fort Mcmurray,Canada,56.653301239,-111.222000122
YMO,4,Moosonee Airport,Moosonee,Canada,51.29109954833984,-80.60780334472656
YNA,4,Natashquan Airport,Natashquan,Canada,50.18999862670898,-61.78919982910156
YOJ,3,High Level Airport,High Level,Canada,58.62139892578125,-117.16500091552734
YOW,3,Ottawa Macdonald-Cartier International Airport,Ottawa,Canada,45.3224983215332,-75.66919708251953
YPL,4,Pickle Lake Airport,Pickle Lake,Canada,51.4463996887207,-90.21420288085938
YPN,4,Port Menier Airport,Port Menier,Canada,49.83639907836914,-64.2885971069336
YPR,3,Prince Rupert Airport,Prince Pupert,Canada,54.2860984802,-130.445007324
YPY,3,Fort Chipewyan Airport,Fort Chipewyan,Canada,58.7672004699707,-111.11699676513672
YQB,4,Quebec Jean Lesage International Airport,Quebec,Canada,46.7911,-71.393303
YQF,3,Red Deer Regional Airport,Red Deer Industrial,Canada,52.18220138549805,-113.8939971923828
YQG,3,Windsor Airport,Windsor,Canada,42.27560043334961,-82.95559692382812
YQK,4,Kenora Airport,Kenora,Canada,49.78829956054688,-94.36309814453124
YQL,3,Lethbridge County Airport,Lethbridge,Canada,49.6302986145,-112.800003052
YQM,3,Greater Moncton International Airport,Moncton,Canada,46.11220169067383,-64.67859649658203
YQQ,3,Comox Airport,Comox,Canada,49.71080017089844,-124.88700103759766
YQR,3,Regina International Airport,Regina,Canada,50.43190002441406,-104.66600036621094
YQT,4,Thunder Bay Airport,Thunder Bay,Canada,48.37189865112305,-89.32389831542969
YQU,3,Grande Prairie Airport,Grande Prairie,Canada,55.1796989441,-118.885002136
YQX,3,Gander International Airport,Gander,Canada,48.9369010925293,-54.56809997558594
YQY,3,Sydney / J.A. Douglas McCurdy Airport,Sydney,Canada,46.1614,-60.047798
YQZ,3,Quesnel Airport,Quesnel,Canada,53.026100158691406,-122.51000213623048
YRB,4,Resolute Bay Airport,Resolute,Canada,74.7169036865,-94.9693984985
YRT,4,Rankin Inlet Airport,Rankin Inlet,Canada,62.8114013672,-92.1157989502
YSB,3,Sudbury Airport,Sudbury,Canada,46.625,-80.79889678955078
YSJ,3,Saint John Airport,St. John,Canada,45.31610107421875,-65.89029693603516
YSM,3,Fort Smith Airport,Fort Smith,Canada,60.020301818847656,-111.96199798583984
YSY,6,Sachs Harbour (David Nasogaluak Jr. Saaryuaq) Airport,Sachs Harbour,Canada,71.9938964844,-125.242996216
YTE,4,Cape Dorset Airport,Cape Dorset,Canada,64.2300033569,-76.5267028809
YTH,4,Thompson Airport,Thompson,Canada,55.80110168457031,-97.86419677734376
YTS,4,Timmins/Victor M. Power,Timmins,Canada,48.5696983337,-81.376701355
YTZ,3,Billy Bishop Toronto City Centre Airport,Toronto,Canada,43.627499,-79.396202
YUB,6,Tuktoyaktuk Airport,Tuktoyaktuk,Canada,69.43329620361328,-133.0260009765625
YUL,3,Montreal / Pierre Elliott Trudeau International Airport,Montreal,Canada,45.4706001282,-73.7407989502
YUT,4,Repulse Bay Airport,Repulse Bay,Canada,66.5214004517,-86.22470092770001
YUX,4,Hall Beach Airport,Hall Beach,Canada,68.77610015869999,-81.2425
YUY,4,Rouyn Noranda Airport,Rouyn,Canada,48.20610046386719,-78.83560180664062
YVM,4,Qikiqtarjuaq Airport,Broughton Island,Canada,67.5457992554,-64.03140258789999
YVO,4,Val-d'Or Airport,Val D'or,Canada,48.0532989502,-77.7827987671
YVP,4,Kuujjuaq Airport,Quujjuaq,Canada,58.096099853515625,-68.4269027709961
YVQ,6,Norman Wells Airport,Norman Wells,Canada,65.28160095214844,-126.7979965209961
YVR,3,Vancouver International Airport,Vancouver,Canada,49.193901062,-123.183998108
YWG,3,Winnipeg / James Armstrong Richardson International Airport,Winnipeg,Canada,49.9099998474,-97.2398986816
YWK,4,Wabush Airport,Wabush,Canada,52.92190170288086,-66.8644027709961
YWL,3,Williams Lake Airport,Williams Lake,Canada,52.1831016541,-122.054000854
YXC,3,Cranbrook/Canadian Rockies International Airport,Cranbrook,Canada,49.610801696777,-115.78199768066
YXE,3,Saskatoon John G. Diefenbaker International Airport,Saskatoon,Canada,52.17079925537109,-106.6999969482422
YXH,3,Medicine Hat Airport,Medicine Hat,Canada,50.01890182495117,-110.72100067138672
YXJ,3,Fort St John Airport,Fort Saint John,Canada,56.23809814453125,-120.73999786376952
YXL,4,Sioux Lookout Airport,Sioux Lookout,Canada,50.11389923095703,-91.9052963256836
YXP,4,Pangnirtung Airport,Pangnirtung,Canada,66.1449966431,-65.71360015869999
YXS,3,Prince George Airport,Prince George,Canada,53.8894004822,-122.679000854
YXT,3,Northwest Regional Airport Terrace-Kitimat,Terrace,Canada,54.468498,-128.576009
YXU,3,London Airport,London,Canada,43.035599,-81.1539
YXX,3,Abbotsford Airport,Abbotsford,Canada,49.025299072265625,-122.36100006103516
YXY,3,Whitehorse / Erik Nielsen International Airport,Whitehorse,Canada,60.7095985413,-135.067001343
YYB,3,North Bay Jack Garland Airport,North Bay,Canada,46.363602,-79.422798
YYC,3,Calgary International Airport,Calgary,Canada,51.113899231,-114.019996643
YYD,3,Smithers Airport,Smithers,Canada,54.82469940185547,-127.18299865722656
YYE,3,Fort Nelson Airport,Fort Nelson,Canada,58.8363990784,-122.597000122
YYF,3,Penticton Airport,Penticton,Canada,49.46310043334961,-119.60199737548828
YYG,3,Charlottetown Airport,Charlottetown,Canada,46.290000915527344,-63.12110137939453
YYH,3,Taloyoak Airport,Spence Bay,Canada,69.5466995239,-93.5766983032
YYJ,3,Victoria International Airport,Victoria,Canada,48.646900177,-123.426002502
YYQ,4,Churchill Airport,Churchill,Canada,58.739200592041016,-94.06500244140624
YYR,4,Goose Bay Airport,Goose Bay,Canada,53.3191986084,-60.4258003235
YYT,3,St. John's International Airport,St. John's,Canada,47.618598938,-52.7518997192
YYU,4,Kapuskasing Airport,Kapuskasing,Canada,49.41389846801758,-82.46749877929688
YYY,4,Mont Joli Airport,Mont Joli,Canada,48.60860061645508,-68.20809936523438
YYZ,3,Lester B. Pearson International Airport,Toronto,Canada,43.6772003174,-79.63059997559999
YZF,3,Yellowknife Airport,Yellowknife,Canada,62.462799072265625,-114.44000244140624
YZP,3,Sandspit Airport,Sandspit,Canada,53.25429916379999,-131.813995361
YZR,3,Chris Hadfield Airport,Sarnia,Canada,42.9994010925293,-82.30889892578125
YZT,3,Port Hardy Airport,Port Hardy,Canada,50.68059921264648,-127.36699676513672
YZV,4,Sept-Îles Airport,Sept-iles,Canada,50.22330093383789,-66.2656021118164
ZFM,6,Fort Mcpherson Airport,Fort Mcpherson,Canada,67.40750122070312,-134.86099243164062
BJA,2,Soummam Airport,Bejaja,Algeria,36.7120018005,5.0699200630200005
ALG,2,Houari Boumediene Airport,Algier,Algeria,36.69100189208984,3.215409994125366
DJG,2,Djanet Inedbirene Airport,Djanet,Algeria,24.292801,9.45244
TMR,2,Aguenar – Hadj Bey Akhamok Airport,Tamanrasset,Algeria,22.8115005493,5.45107984543
MZW,2,Mecheria Airport,Mecheria,Algeria,33.535900116,-0.242353007197
AAE,2,Rabah Bitat Airport,Annaba,Algeria,36.822201,7.809174
CZL,2,Mohamed Boudiaf International Airport,Constantine,Algeria,36.2760009765625,6.620389938354492
TEE,2,Cheikh Larbi Tébessi Airport,Tebessa,Algeria,35.4315986633,8.12071990967
HRM,2,Hassi R'Mel Airport,Tilrempt,Algeria,32.93040084838867,3.311539888381958
TID,2,Bou Chekif Airport,Tiaret,Algeria,35.3410987854,1.46315002441
CFK,2,Ech Cheliff Airport,Ech-cheliff,Algeria,36.2126998901,1.33176994324
TLM,2,Zenata – Messali El Hadj Airport,Tlemcen,Algeria,35.0167007446,-1.45000004768
ORN,2,Es Senia Airport,Oran,Algeria,35.6239013672,-0.6211829781529999
MUW,2,Ghriss Airport,Ghriss,Algeria,35.207698822021484,0.1471419930458068
AZR,2,Touat Cheikh Sidi Mohamed Belkebir Airport,Adrar,Algeria,27.83760070800781,-0.1864140033721923
BSK,2,Biskra Airport,Biskra,Algeria,34.7933006287,5.73823022842
ELG,2,El Golea Airport,El Golea,Algeria,30.5713005065918,2.8595900535583496
GHA,2,Noumérat - Moufdi Zakaria Airport,Ghardaia,Algeria,32.38410186767578,3.794110059738159
HME,2,Oued Irara Airport,Hassi Messaoud,Algeria,31.6730003357,6.140439987180001
INZ,2,In Salah Airport,In Salah,Algeria,27.2509994507,2.51202011108
TGR,2,Touggourt Sidi Madhi Airport,Touggourt,Algeria,33.06779861450195,6.088669776916504
OGX,2,Ain el Beida Airport,Ouargla,Algeria,31.917200088500977,5.412779808044434
IAM,2,In Aménas Airport,Zarzaitine,Algeria,28.0515,9.64291
COO,8,Cadjehoun Airport,Cotonou,Benin,6.357230186462402,2.384350061416626
OUA,8,Ouagadougou Airport,Ouagadougou,Burkina Faso,12.3532,-1.51242
BOY,8,Bobo Dioulasso Airport,Bobo-dioulasso,Burkina Faso,11.160099983215332,-4.33096981048584
ACC,8,Kotoka International Airport,Accra,Ghana,5.605189800262451,-0.1667860001325607
TML,8,Tamale Airport,Tamale,Ghana,9.55718994140625,-0.8632140159606934
NYI,8,Sunyani Airport,Sunyani,Ghana,7.361830234527588,-2.3287599086761475
TKD,8,Takoradi Airport,Takoradi,Ghana,4.896059989929199,-1.7747600078582764
ABJ,8,Port Bouet Airport,Abidjan,Cote d'Ivoire,5.261390209197998,-3.9262900352478014
ABV,8,Nnamdi Azikiwe International Airport,Abuja,Nigeria,9.006790161132812,7.263169765472412
BNI,8,Benin Airport,Benin,Nigeria,6.316979885101318,5.599500179290772
CBQ,8,Margaret Ekpo International Airport,Calabar,Nigeria,4.976019859313965,8.347200393676758
ENU,8,Akanu Ibiam International Airport,Enugu,Nigeria,6.474269866943359,7.561960220336914
IBA,8,Ibadan Airport,Ibadan,Nigeria,7.362460136413574,3.97832989692688
ILR,8,Ilorin International Airport,Ilorin,Nigeria,8.440210342407227,4.493919849395752
JOS,8,Yakubu Gowon Airport,Jos,Nigeria,9.639829635620115,8.869050025939941
KAD,8,Kaduna Airport,Kaduna,Nigeria,10.696000099182127,7.320109844207764
KAN,9,Mallam Aminu International Airport,Kano,Nigeria,12.0476,8.52462
LOS,8,Murtala Muhammed International Airport,Lagos,Nigeria,6.5773701667785645,3.321160078048706
PHC,8,Port Harcourt International Airport,Port Hartcourt,Nigeria,5.0154900550842285,6.94959020614624
SKO,8,Sadiq Abubakar III International Airport,Sokoto,Nigeria,12.916299819946287,5.207190036773682
YOL,8,Yola Airport,Yola,Nigeria,9.257550239562988,12.430399894714355
NIM,8,Diori Hamani International Airport,Niamey,Niger,13.4815,2.18361
MIR,2,Monastir Habib Bourguiba International Airport,Monastir,Tunisia,35.75809860229492,10.75469970703125
TUN,2,Tunis Carthage International Airport,Tunis,Tunisia,36.85100173950195,10.22719955444336
GAF,2,Gafsa Ksar International Airport,Gafsa,Tunisia,34.422000885009766,8.822500228881836
GAE,2,Gabès Matmata International Airport,Gabes,Tunisia,33.87689971923828,10.103300094604492
DJE,2,Djerba Zarzis International Airport,Djerba,Tunisia,33.875,10.775500297546388
SFA,9,Sfax Thyna International Airport,Sfax,Tunisia,34.71799850463867,10.690999984741213
TOE,2,Tozeur Nefta International Airport,Tozeur,Tunisia,33.939701080322266,8.110560417175293
LFW,8,Lomé-Tokoin Airport,Lome,Togo,6.165609836578369,1.2545100450515747
ANR,2,Antwerp International Airport (Deurne),Antwerp,Belgium,51.1893997192,4.46027994156
BRU,2,Brussels Airport,Brussels,Belgium,50.9014015198,4.48443984985
CRL,2,Brussels South Charleroi Airport,Charleroi,Belgium,50.459202,4.45382
LGG,2,Liège Airport,Liege,Belgium,50.63740158081055,5.443220138549805
OST,2,Ostend-Bruges International Airport,Ostend,Belgium,51.1988983154,2.8622200489
SXF,2,Berlin-Schönefeld Airport,Berlin,Germany,52.380001,13.5225
DRS,2,Dresden Airport,Dresden,Germany,51.1328010559082,13.767200469970703
ERF,2,Erfurt Airport,Erfurt,Germany,50.97980117797852,10.958100318908691
FRA,2,Frankfurt am Main Airport,Frankfurt,Germany,50.033333,8.570556
FMO,2,Münster Osnabrück Airport,Munster,Germany,52.134601593,7.68483018875
HAM,2,Hamburg Airport,Hamburg,Germany,53.630401611328,9.9882297515869
CGN,2,Cologne Bonn Airport,Cologne,Germany,50.8658981323,7.1427397728
DUS,2,Düsseldorf Airport,Duesseldorf,Germany,51.289501,6.76678
MUC,2,Munich Airport,Munich,Germany,48.353802,11.7861
NUE,2,Nuremberg Airport,Nuernberg,Germany,49.498699,11.078056
LEJ,2,Leipzig/Halle Airport,Leipzig,Germany,51.423889,12.236389
SCN,2,Saarbrücken Airport,Saarbruecken,Germany,49.2145996094,7.10950994492
STR,2,Stuttgart Airport,Stuttgart,Germany,48.6898994446,9.22196006775
TXL,2,Berlin-Tegel Airport,Berlin,Germany,52.5597,13.2877
HAJ,2,Hannover Airport,Hannover,Germany,52.461101532,9.68507957458
BRE,2,Bremen Airport,Bremen,Germany,53.0475006104,8.78666973114
HHN,2,Frankfurt-Hahn Airport,Hahn,Germany,49.9487,7.26389
MHG,2,Mannheim-City Airport,Mannheim,Germany,49.473057,8.514167
XFW,2,Hamburg-Finkenwerder Airport,Hamburg,Germany,53.5352783203125,9.835556030273438
LBC,2,Lübeck Blankensee Airport,Luebeck,Germany,53.8054008484,10.7192001343
PAD,2,Paderborn Lippstadt Airport,Paderborn,Germany,51.6141014099,8.616319656369999
DTM,2,Dortmund Airport,Dortmund,Germany,51.51829910279999,7.61223983765
AGB,2,Augsburg Airport,Augsburg,Germany,48.425278,10.931667
FDH,2,Friedrichshafen Airport,Friedrichshafen,Germany,47.6712989807,9.51148986816
ZQW,2,Zweibrücken Airport,Zweibruecken,Germany,49.2094,7.40056
KSF,2,Kassel-Calden Airport,Kassel,Germany,51.417273,9.384967
GWT,2,Westerland Sylt Airport,Westerland,Germany,54.9132003784,8.34047031403
URE,2,Kuressaare Airport,Kuressaare,Estonia,58.22990036010742,22.50950050354004
TLL,2,Lennart Meri Tallinn Airport,Tallinn-ulemiste International,Estonia,59.41329956049999,24.8327999115
TAY,2,Tartu Airport,Tartu,Estonia,58.3074989319,26.690399169900004
HEL,2,Helsinki Vantaa Airport,Helsinki,Finland,60.317199707031,24.963300704956
IVL,2,Ivalo Airport,Ivalo,Finland,68.607299804688,27.405300140381
JOE,2,Joensuu Airport,Joensuu,Finland,62.662899017334,29.607500076294
JYV,2,Jyvaskyla Airport,Jyvaskyla,Finland,62.399501800537,25.678300857544
KEM,2,Kemi-Tornio Airport,Kemi,Finland,65.778701782227,24.582099914551
KAJ,2,Kajaani Airport,Kajaani,Finland,64.285499572754,27.692399978638
KOK,2,Kokkola-Pietarsaari Airport,Kruunupyy,Finland,63.721199035645,23.143100738525
KAO,2,Kuusamo Airport,Kuusamo,Finland,65.987602233887,29.239400863647
KTT,2,Kittilä Airport,Kittila,Finland,67.700996398926,24.846799850464
KUO,2,Kuopio Airport,Kuopio,Finland,63.007099151611,27.797800064087
LPP,2,Lappeenranta Airport,Lappeenranta,Finland,61.044601,28.144743
MHQ,2,Mariehamn Airport,Mariehamn,Finland,60.122200012207,19.898199081421
OUL,2,Oulu Airport,Oulu,Finland,64.930099487305,25.354600906372
POR,2,Pori Airport,Pori,Finland,61.461700439453,21.799999237061
RVN,2,Rovaniemi Airport,Rovaniemi,Finland,66.564796447754,25.830400466919
SVL,2,Savonlinna Airport,Savonlinna,Finland,61.943099975586,28.945100784302
TMP,2,Tampere-Pirkkala Airport,Tampere,Finland,61.414100646973,23.604400634766
TKU,2,Turku Airport,Turku,Finland,60.514099121094,22.262800216675
VAA,2,Vaasa Airport,Vaasa,Finland,63.050701141357,21.762199401855
BFS,2,Belfast International Airport,Belfast,United Kingdom,54.6575012207,-6.21582984924
BHD,2,George Best Belfast City Airport,Belfast,United Kingdom,54.61809921264648,-5.872499942779541
LDY,2,City of Derry Airport,Londonderry,United Kingdom,55.04280090332031,-7.161109924316406
BHX,2,Birmingham International Airport,Birmingham,United Kingdom,52.4538993835,-1.74802994728
GLO,2,Gloucestershire Airport,Golouchestershire,United Kingdom,51.89419937133789,-2.167220115661621
MAN,2,Manchester Airport,Manchester,United Kingdom,53.35369873046875,-2.2749500274658203
NQY,2,Newquay Cornwall Airport,Newquai,United Kingdom,50.44060134887695,-4.995409965515137
CWL,2,Cardiff International Airport,Cardiff,United Kingdom,51.39670181274414,-3.343329906463623
BRS,2,Bristol Airport,Bristol,United Kingdom,51.382702,-2.71909
LPL,2,Liverpool John Lennon Airport,Liverpool,United Kingdom,53.33359909057617,-2.849720001220703
LTN,2,London Luton Airport,London,United Kingdom,51.874698638916016,-0.3683330118656158
BOH,2,Bournemouth Airport,Bournemouth,United Kingdom,50.77999877929688,-1.8424999713897705
SOU,2,Southampton Airport,Southampton,United Kingdom,50.95029830932617,-1.3567999601364136
ACI,2,Alderney Airport,Alderney,Guernsey,49.706104,-2.21472
GCI,2,Guernsey Airport,Guernsey,Guernsey,49.435001373291016,-2.601969957351685
JER,2,Jersey Airport,Jersey,Jersey,49.20790100097656,-2.195509910583496
LGW,2,London Gatwick Airport,London,United Kingdom,51.148102,-0.190278
LCY,2,London City Airport,London,United Kingdom,51.505299,0.055278
LHR,2,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
SEN,2,Southend Airport,Southend,United Kingdom,51.5713996887207,0.6955559849739075
BLK,2,Blackpool International Airport,Blackpool,United Kingdom,53.77170181274414,-3.0286099910736084
HUY,2,Humberside Airport,Humberside,United Kingdom,53.57440185546875,-0.350832998752594
LBA,2,Leeds Bradford Airport,Leeds,United Kingdom,53.86589813232422,-1.6605700254440308
CEG,2,Hawarden Airport,Hawarden,United Kingdom,53.1781005859375,-2.977780103683472
IOM,2,Isle of Man Airport,Isle Of Man,Isle of Man,54.08330154418945,-4.623889923095703
NCL,2,Newcastle Airport,Newcastle,United Kingdom,55.03749847412109,-1.6916699409484863
MME,2,Durham Tees Valley Airport,Teesside,United Kingdom,54.50920104980469,-1.4294099807739258
EMA,2,East Midlands Airport,East Midlands,United Kingdom,52.8311004639,-1.32806003094
KOI,10,Kirkwall Airport,Kirkwall,United Kingdom,58.957801818847656,-2.9049999713897705
LSI,2,Sumburgh Airport,Sumburgh,United Kingdom,59.87889862060547,-1.295560002326965
WIC,2,Wick Airport,Wick,United Kingdom,58.45890045166016,-3.09306001663208
ABZ,2,Aberdeen Dyce Airport,Aberdeen,United Kingdom,57.20190048217773,-2.197779893875122
INV,2,Inverness Airport,Inverness,United Kingdom,57.54249954223633,-4.047500133514404
GLA,2,Glasgow International Airport,Glasgow,United Kingdom,55.8718986511,-4.43306016922
EDI,2,Edinburgh Airport,Edinburgh,United Kingdom,55.95000076293945,-3.372499942779541
ILY,2,Islay Airport,Islay,United Kingdom,55.68190002441406,-6.256669998168945
PIK,2,Glasgow Prestwick Airport,Prestwick,United Kingdom,55.5093994140625,-4.586669921875
BEB,2,Benbecula Airport,Benbecula,United Kingdom,57.48109817504883,-7.362780094146728
DND,2,Dundee Airport,Dundee,United Kingdom,56.45249938964844,-3.025830030441284
SYY,2,Stornoway Airport,Stornoway,United Kingdom,58.215599060058594,-6.331110000610352
TRE,2,Tiree Airport,Tiree,United Kingdom,56.49919891357422,-6.869170188903809
NWI,2,Norwich International Airport,Norwich,United Kingdom,52.6758003235,1.28278005123
STN,2,London Stansted Airport,London,United Kingdom,51.8849983215,0.234999999404
EXT,2,Exeter International Airport,Exeter,United Kingdom,50.73440170288086,-3.4138898849487305
MPN,11,Mount Pleasant Airport,Mount Pleasant,Falkland Islands,-51.82279968261719,-58.44720077514648
AMS,2,Amsterdam Airport Schiphol,Amsterdam,Netherlands,52.308601,4.76389
MST,2,Maastricht Aachen Airport,Maastricht,Netherlands,50.911701,5.77014
EIN,2,Eindhoven Airport,Eindhoven,Netherlands,51.4500999451,5.37452983856
GRQ,2,Eelde Airport,Groningen,Netherlands,53.1197013855,6.57944011688
RTM,2,Rotterdam The Hague Airport,Rotterdam,Netherlands,51.956902,4.43722
ORK,2,Cork Airport,Cork,Ireland,51.84130096435547,-8.491109848022461
DUB,2,Dublin Airport,Dublin,Ireland,53.421299,-6.27007
NOC,2,Ireland West Knock Airport,Connaught,Ireland,53.910301208496094,-8.818490028381348
KIR,2,Kerry Airport,Kerry,Ireland,52.18090057373047,-9.52377986907959
SNN,2,Shannon Airport,Shannon,Ireland,52.702,-8.92482
WAT,2,Waterford Airport,Waterford,Ireland,52.187198638916016,-7.086959838867188
AAR,2,Aarhus Airport,Aarhus,Denmark,56.2999992371,10.619000434899998
BLL,2,Billund Airport,Billund,Denmark,55.7402992249,9.15178012848
CPH,2,Copenhagen Kastrup Airport,Copenhagen,Denmark,55.617900848389,12.656000137329
EBJ,2,Esbjerg Airport,Esbjerg,Denmark,55.525902,8.5534
KRP,2,Karup Airport,Karup,Denmark,56.29750061035156,9.124629974365234
RNN,2,Bornholm Airport,Ronne,Denmark,55.06330108642578,14.759599685668944
SGD,2,Sønderborg Airport,Soenderborg,Denmark,54.96440124511719,9.791729927062988
FAE,2,Vagar Airport,Vagar,Faroe Islands,62.0635986328125,-7.277219772338867
AAL,2,Aalborg Airport,Aalborg,Denmark,57.0927589138,9.84924316406
LUX,2,Luxembourg-Findel International Airport,Luxemburg,Luxembourg,49.6233333,6.2044444
AES,2,Ålesund Airport,Alesund,Norway,62.5625,6.119699954986572
ANX,12,Andøya Airport,Andoya,Norway,69.292503356934,16.144199371338
ALF,12,Alta Airport,Alta,Norway,69.976097106934,23.371700286865
BNN,2,Brønnøysund Airport,Bronnoysund,Norway,65.461097717285,12.217499732971
BOO,12,Bodø Airport,Bodo,Norway,67.26920318603516,14.365300178527832
BGO,2,Bergen Airport Flesland,Bergen,Norway,60.29339981,5.218140125
BJF,12,Båtsfjord Airport,Batsfjord,Norway,70.60050201416,29.691400527954
KRS,2,Kristiansand Airport,Kristiansand,Norway,58.204201,8.08537
BDU,2,Bardufoss Airport,Bardufoss,Norway,69.055801391602,18.540399551392
EVE,2,"Harstad/Narvik Airport, Evenes",Harstad/Narvik,Norway,68.491302490234,16.678100585938
VDB,2,Leirin Airport,Fagernes,Norway,61.015598297119,9.2880601882935
FRO,2,Florø Airport,Floro,Norway,61.583599090576,5.0247201919556
OSL,2,Oslo Lufthavn,Oslo,Norway,60.121,11.0502
HAU,2,Haugesund Airport,Haugesund,Norway,59.34529876709,5.2083601951599
HAA,12,Hasvik Airport,Hasvik,Norway,70.486701965332,22.139699935913
KSU,2,Kristiansund Airport (Kvernberget),Kristiansund,Norway,63.111801147461,7.824520111084
KKN,12,Kirkenes Airport (Høybuktmoen),Kirkenes,Norway,69.725799560547,29.891300201416
MOL,2,Molde Airport,Molde,Norway,62.744701385498,7.2624998092651
